Latitude,Longitude,Year,Month,Ocean,Sample_Method,Concentration_pieces_m3,Risk_Label
56.288167,-2.501667,2020,1,Atlantic Ocean,Neuston net,0.034858,Low
56.125,-4.826833,2021,9,Atlantic Ocean,Neuston net,0.0,Low
55.729,-4.9895,2017,11,Atlantic Ocean,Neuston net,0.053303,Low
45.763833,-129.340667,2019,11,Pacific Ocean,Manta net,0.451787,High
48.734,-142.846583,2019,3,Pacific Ocean,Neuston net,0.0,Low
42.62,-61.75,1996,7,Atlantic Ocean,Neuston net,0.00432,Low
47.1,-56.07,1996,7,Atlantic Ocean,Neuston net,0.0054,Low
33.43,-58.62,2005,10,Atlantic Ocean,Neuston net,0.0,Low
31.47,-55.68,1992,10,Atlantic Ocean,Neuston net,0.040816,Low
38.43987,-9.09325,2018,8,Atlantic Ocean,Neuston net,0.543901,High
38.864,12.6117,2014,7,Atlantic Ocean,Manta net,0.106896,High
41.403637,2.2193,2021,4,Atlantic Ocean,Manta net,2.192667,High
41.314,2.2465,2012,8,Atlantic Ocean,Manta net,2.505023,High
36.17,-65.3,1995,10,Atlantic Ocean,Neuston net,0.0,Low
39.0,-73.45,2006,6,Atlantic Ocean,Neuston net,0.00432,Low
41.99,-69.46,2002,8,Atlantic Ocean,Neuston net,0.00432,Low
40.85,-70.62,1992,10,Atlantic Ocean,Neuston net,0.010796,Low
37.1,-66.96,1999,10,Atlantic Ocean,Neuston net,0.323976,High
41.1499,-55.6686,2018,5,Atlantic Ocean,Intake seawater pump,37.0,High
32.2584,-127.3653,2009,8,Pacific Ocean,Manta net,0.159,High
33.87,-64.62,2002,5,Atlantic Ocean,Neuston net,0.01944,Low
34.85,-66.94,1999,4,Atlantic Ocean,Neuston net,0.007852,Low
34.03,-62.88,1995,10,Atlantic Ocean,Neuston net,0.024692,Low
28.46,-59.87,1998,10,Atlantic Ocean,Neuston net,0.253288,High
30.5477,-63.7064,2010,1,Atlantic Ocean,Neuston net,2.364218,High
21.0698,-37.076,2014,12,Atlantic Ocean,Grab sample,0.01,Low
31.72,-144.77,2011,5,Pacific Ocean,Neuston net,0.0,Low
24.27,-82.29,2006,5,Atlantic Ocean,Neuston net,0.00216,Low
24.59,-79.38,1999,3,Atlantic Ocean,Neuston net,0.194384,High
27.6934,-82.5559,2016,8,Atlantic Ocean,Van Dorn sampler,0.0,Low
16.57,-60.48,1992,11,Atlantic Ocean,Neuston net,0.0,Low
11.83,-60.83,1986,10,Atlantic Ocean,Neuston net,0.0,Low
25.94,-146.58,2011,10,Pacific Ocean,Neuston net,0.326132,High
27.33,-142.18,2006,5,Pacific Ocean,Neuston net,0.003324,Low
29.95,-80.23,1999,3,Atlantic Ocean,Neuston net,0.0,Low
26.6,-79.39,2003,3,Atlantic Ocean,Neuston net,0.0,Low
19.24,-143.41,2012,7,Pacific Ocean,Neuston net,0.452324,High
18.15,-74.89,1992,3,Atlantic Ocean,Neuston net,0.00216,Low
16.37,-76.65,1992,3,Atlantic Ocean,Neuston net,0.0,Low
16.37,-85.58,2003,3,Atlantic Ocean,Neuston net,0.0,Low
14.41,-96.5,2001,11,Pacific Ocean,Neuston net,0.00648,Low
-28.7311,-103.5486,2011,4,Pacific Ocean,Manta net,0.176073,High
-28.3865,-16.3898,2011,1,Atlantic Ocean,Neuston net,0.814427,High
-14.91,-146.58,2003,3,Pacific Ocean,Neuston net,0.0,Low
-23.0308,-30.8532,2010,8,Atlantic Ocean,Neuston net,0.303663,High
19.62,-146.5,2005,3,Pacific Ocean,Neuston net,0.00216,Low
18.24,-76.4,1998,12,Atlantic Ocean,Neuston net,0.00216,Low
28.42,-150.3,2019,7,Pacific Ocean,Manta net,2.464707,High
26.25525,-151.30095,2015,8,Pacific Ocean,Manta net,1.566289,High
33.38,-156.38,2006,4,Pacific Ocean,Neuston net,0.0,Low
40.38,-157.49,2008,12,Pacific Ocean,Neuston net,0.44862,High
32.059167,34.748333,2014,8,Atlantic Ocean,Manta net,0.812937,High
37.9,24.7,2015,6,Atlantic Ocean,Manta net,0.29,High
10.28,-160.52,2002,4,Pacific Ocean,Neuston net,0.0,Low
9.55,-155.93,2011,7,Pacific Ocean,Neuston net,0.0054,Low
19.95,-156.16,2009,7,Pacific Ocean,Neuston net,0.0,Low
20.35,-154.67,2011,10,Pacific Ocean,Neuston net,0.0,Low
23.567,-160.4192,2009,6,Pacific Ocean,Neuston net,0.164343,High
23.65,-149.74,2005,7,Pacific Ocean,Neuston net,0.0,Low
56.313667,-2.5485,2019,11,Atlantic Ocean,Neuston net,0.0,Low
56.112167,-2.881667,2018,1,Atlantic Ocean,Neuston net,0.341743,High
56.1505,-2.3865,2022,1,Atlantic Ocean,Neuston net,0.066437,Low
54.86375,12.305633,2019,5,Atlantic Ocean,Manta net,0.0,Low
42.106833,15.615167,2013,5,Atlantic Ocean,Neuston net,1.603376,High
38.5046,16.8681,2014,11,Atlantic Ocean,Grab sample,0.007,Low
38.013,12.087667,2020,11,Atlantic Ocean,Manta net,0.184805,High
38.5445,9.82533,2013,6,Atlantic Ocean,Neuston net,2.179487,High
41.397303,2.21315,2021,4,Atlantic Ocean,Manta net,0.177333,High
41.24,-68.35,1992,6,Atlantic Ocean,Neuston net,0.0,Low
40.85,-68.65,2006,7,Atlantic Ocean,Neuston net,0.0,Low
39.54,-64.31,1999,10,Atlantic Ocean,Neuston net,0.00216,Low
32.844825,-37.951367,2020,11,Atlantic Ocean,Manta net,2.175247,High
38.44652,-9.04146,2019,1,Atlantic Ocean,Neuston net,0.289436,High
39.0558,-76.2883,2015,10,Atlantic Ocean,Grab sample,0.063,Low
32.83,-64.85,1987,6,Atlantic Ocean,Neuston net,0.0234,Low
34.05,-65.32,2007,5,Atlantic Ocean,Neuston net,0.0,Low
34.1,-64.92,1992,5,Atlantic Ocean,Neuston net,0.086392,High
27.45,-58.13,2003,10,Atlantic Ocean,Neuston net,0.205184,High
25.42,-60.75,1999,4,Atlantic Ocean,Neuston net,0.111076,High
20.17,-67.97,2002,2,Atlantic Ocean,Neuston net,0.127428,High
27.9146,-64.0454,2016,5,Atlantic Ocean,Grab sample,0.041,Low
